 	195
в кисловодск	4
не должна	4
в чем	4
что бы	4
горы и	4
он стал	4
не буду	4
она меня	4
тот же	4
и даже	4
мазурку 	4
ни разу	4
в горы	4
мимо окон	4
что ей	4
хотя в	4
слезы 	4
на воздух	4
мысли что	4
не хочешь	4
чтоб ты	4
она у	4
что случилось	4
лицо его	4
вам сказать	4
головой 	4
не умеет	4
я сделал	4
при мысли	4
и вы	4
но на	4
но не	4
было что	4
она начала	4
тебя не	4
сказал грушницкий	4
ее на	4
все на	4
прошу вас	4
грушницкий с	4
стакан чая	4
шесть шагов	4
минуту он	4
моей жизни	4
а право	4
быть не	4
на которой	4
вот я	4
все эти	4
на шести	4
наконец я	4
здесь 	4
сидели на	4
говорил что	4
в два	4
 воскликнул	4
ее лицо	4
мной я	4
вы верно	4
я за	4
мне что	4
совсем не	4
сказать что	4
вот он	4
то же	4
я что	4
только и	4
что ни	4
до безумия	4
я тотчас	4
господа 	4
вышел из	4
него был	4
и то	4
я сказал	4
в воду	4
когда мы	4
в толпе	4
право не	4
знает 	4
 доктор	4
и бросился	4
т 	4
не понимаю	4
на мазурку	4
если бы	4
бы на	4
это я	4
я опять	4
грушницкому 	4
а теперь	4
я раз	4
мне кажется	4
сердце мое	4
а он	4
он посмотрел	4
мне доктор	4
княжны и	4
с которой	4
его знает	4
тут я	4
это так	4
тем лучше	4
в другую	4
ведь есть	4
да 	4
спросил он	4
сел у	4
я должна	4
знает что	4
глядя на	4
и прочее	4
ж я	4
камень и	4
возле него	4
значит 	4
послушайте максим	3
вы были	3
на охоте	3
это ничего	3
 завтра	3
он отвернулся	3
на сердце	3
мне случай	3
что его	3
на месте	3
тогда я	3
не из	3
три дня	3
не что	3
по дороге	3
это были	3
 никто	3
это была	3
с них	3
княгини лиговской	3
в первой	3
не бывало	3
пожалуйста 	3
будет очень	3
едва мог	3
руки 	3
была уже	3
готов был	3
во весь	3
по его	3
на этот	3
себя за	3
обыкновенного 	3
меня по	3
и еще	3
честное слово	3
и гляди	3
был с	3
у огня	3
трус 	3
скучно 	3
чтоб это	3
пари 	3
за нее	3
время я	3
в доме	3
как человек	3
тех людей	3
до поздней	3
в полной	3
в ногу	3
как теперь	3
жизни я	3
я приехал	3
меня так	3
и кое-как	3
на своих	3
да притом	3
моего коня	3
слепой мальчик	3
не увидимся	3
слышно было	3
и его	3
внимания на	3
у этих	3
 прибавила	3
был уже	3
же ты	3
большею частью	3
взошел в	3
это за	3
отвечал капитан	3
то все	3
ее она	3
прямо к	3
штабс-капитан не	3
 откуда	3
и уж	3
поздней ночи	3
тюрк 	3
от нас	3
и теперь	3
него на	3
с нижегородским	3
да куда	3
ты можешь	3
раз 	3
я возвратился	3
он вам	3
не очень	3
думает что	3
меня нет	3
иное как	3
была очень	3
а после	3
к вам	3
это случилось	3
минут он	3
сказал печорин	3
наконец она	3
ответ 	3
черкесы 	3
не заметил	3
из нее	3
вперед по	3
ей руку	3
с своей	3
в кусты	3
его дрожали	3
того и	3
вещи 	3
что дочь	3
он так	3
нехорошо 	3
рано или	3
меня под	3
и поскакал	3
жизнь свою	3
нас на	3
все было	3
или это	3
 хотите	3
что иное	3
ж вы	3
же я	3
домой я	3
десять минут	3
казбич и	3
как ребенок	3
а ведь	3
мы встретились	3
заметить что	3
ты братец	3
грушницкий не	3
и когда	3
они в	3
видишь я	3
помилуйте 	3
на камень	3
она вышла	3
волочиться за	3
было в	3
его с	3
свою лошадь	3
несколько шагов	3
какой вздор	3
с час	3
не на	3
жизнь была	3
крестовую гору	3
 здесь	3
у штабс-капитана	3
во время	3
о своей	3
я вошел	3
узнал что	3
что так	3
глаза в	3
вечера я	3
сказал есаул	3
очень жаль	3
от меня	3
ведь ты	3
признаюсь я	3
 верно	3
 пожалуйста	3
привык к	3
вы в	3
мне дело	3
то была	3
с кем	3
я тогда	3
 с	3
 т	3
да уж	3
едва ли	3
с востока	3
я услышал	3
в лице	3
в лицо	3
с места	3
 ее	3
и покачала	3
ее как	3
в отечественных	3
я уверена	3
записках 	3
неужели я	3
так как	3
к этим	3
разные необыкновенные	3
поводья и	3
сильно билось	3
своей клеветы	3
разговор был	3
и тем	3
в свете	3
 пожалуй	3
к лучшему	3
что завтра	3
день утром	3
рукою и	3
отвернулся и	3
они все	3
несколько времени	3
бы вы	3
 чтоб	3
женщин с	3
к пристани	3
что ему	3
это правда	3
уж на	3
она ее	3
смотреть на	3
воды и	3
моей и	3
что ли	3
он ударив	3
я шел	3
вас прошу	3
я стоял	3
и другое	3
счастье 	3
в мою	3
ну уж	3
пока не	3
 сегодня	3
я сам	3
июня нынче	3
на глазах	3
этому причиной	3
с утеса	3
крепости 	3
познакомился с	3
мой я	3
и готов	3
вы теперь	3
было и	3
к княжне	3
поскакал в	3
этот вечер	3
это только	3
мне хотелось	3
и притом	3
без меня	3
надежды 	3
и был	3
и подал	3
но вы	3
лошадь 	3
надо только	3
а все-таки	3
с видом	3
что прикажете	3
во мраке	3
в ресторации	3
был еще	3
мы долго	3
вам советую	3
друг 	3
так мало	3
есть 	3
на спине	3
голову и	3
или поздно	3
мимо ее	3
ночью 	3
неподвижно и	3
по берегу	3
какое мне	3
сидел в	3
было нечего	3
он мог	3
был бы	3
так прошло	3
тотчас же	3
есть только	3
под уздцы	3
им что	3
зашел к	3
а бог	3
 помилуй	3
быть осторожнее	3
сам не	3
меня любит	3
следил за	3
в ту	3
смеясь 	3
сказал азамат	3
свете я	3
скажи что	3
я взошел	3
хоть бы	3
с помощью	3
хорошо 	3
похожее на	3
больше чем	3
он что-то	3
чувствую что	3
нее и	3
тусклая бледность	3
мы вышли	3
с тобой	3
ему разные	3
разве ты	3
на кавказ	3
на грушницкого	3
знал что	3
и за	3
от берега	3
то не	3
продолжала она	3
к нам	3
направо и	3
он явился	3
я знаете	3
 думал	3
что этот	3
ним и	3
к ногам	3
нынче ночью	3
я боюсь	3
в саду	3
по правде	3
их разговор	3
только так	3
часов утра	3
он должен	3
 боже	3
не говорит	3
на шутку	3
кавказе 	3
она подняла	3
бог его	3
оттого ли	3
я помню	3
одного из	3
не могут	3
при мне	3
печорина 	3
и нельзя	3
что до	3
обернулась и	3
ни в	3
на другую	3
княжной 	3
вчера 	3
забора и	3
раздалось со	3
еще недавно	3
голове моей	3
быть на	3
сделал несколько	3
за тереком	3
сел на	3
же вы	3
и было	3
прибавила она	3
в лоб	3
дело я	3
ж 	3
смешно я	3
все замолчали	3
взял его	3
или на	3
надеюсь что	3
с удивлением	3
ему руку	3
молодых людей	3
 mon	3
на небесах	3
 даже	3
хотите я	3
обеими руками	3
никому не	3
голос я	3
мне с	3
сторон 	3
или нет	3
что нынче	3
в которых	3
когда же	3
быть вы	3
что иначе	3
я сидел	3
себя в	3
на лавке	3
долго долго	3
среднего роста	3
ко лбу	3
было не	3
лермонтова 	3
лице его	3
что хотя	3
вот наконец	3
я этого	3
страсти и	3
я замужем	3
не один	3
я думала	3
со всеми	3
с историей	3
целую жизнь	3
комнату я	3
нем не	3
были уж	3
двери и	3
я быстро	3
послушай 	3
я знал	3
многие 	3
ли вам	3
а на	3
моя ундина	3
лице ее	3
тебе ее	3
что ее	3
долго не	3
по плечу	3
том свете	3
мы ехали	3
человека который	3
и пошла	3
 скажите	3
княгиня с	3
 надо	3
отправился в	3
в конце	3
в пятигорск	3
со слезами	3
теперь не	3
крепостной вал	3
ли с	3
к ним	3
которой он	3
то чтоб	3
я читал	3
мере я	3
любезный 	3
бы я	3
ваше благородие	3
показывая будто	3
на воды	3
его месте	3
она я	3
так вы	3
возвратился в	3
с иронической	3
 n	3
в комнате	3
мне вчера	3
 раздалось	3
с трудом	3
ушел в	3
не более	3
к колодцу	3
нет но	3
моей я	3
был очень	3
я надеюсь	3
ты знаешь	3
сказал доктор	3
лицо ее	3
в мире	3
что тут	3
я взял	3
янко не	3
и чтоб	3
видал 	3
он сам	3
все время	3
говорил с	3
как бы	3
четыре часа	3
и отвернулся	3
 плохо	3
мою одежду	3
стало жаль	3
мало ли	3
явно было	3
не шутя	3
раз в	3
более что	3
эту ночь	3
у которого	3
уж эти	3
уж эта	3
фаталист 	3
грушницкий и	3
ее губы	3
кто ж	3
вот и	3
в одиннадцать	3
снова 	3
в сакле	3
скажете что	3
перед смертью	3
вдруг слышу	3
мысль что	3
похож на	3
 точно	3
руку на	3
не хуже	3
что казбич	3
она знает	3
 пробормотал	3
я рассказал	3
на площадке	3
n 	3
друг другу	3
были в	3
деле он	3
она едва	3
на себя	3
из окна	3
согласен 	3
из комнаты	3
взобрались на	3
она тебя	3
с максимом	3
от души	3
бледность покрывала	3
видите я	3
и бросил	3
она села	3
богу 	3
с ума	3
а когда	3
окна и	3
на дороге	3
ее голос	3
 за	3
я говорил	3
в себя	3
в себе	3
мы пустились	3
люди 	3
два раза	3
я встал	3
мы оба	3
я как	3
ну как	3
в последний	3
я после	3
сказал ей	3
она вздрогнула	3
за руки	3
 продолжала	3
на бале	3
весь дух	3
и долго	3
он только	3
вернер 	3
к счастию	3
историю 	3
а-га 	3
на щеках	3
из самых	3
ей 	3
отечественных записках	3
кто же	3
тебе не	3
кажется он	3
на улице	3
скажи мне	3
как камень	3
в дверях	3
ей все	3
солдатской шинели	3
десятка два	3
я пожал	3
свет и	3
 позвольте	3
не признается	3
важно 	3
бросился на	3
что оно	3
за него	3
одно средство	3
остановился в	3
мое сердце	3
вам скажу	3
где же	3
он еще	3
начал рассказывать	3
у подошвы	3
она говорила	3
 из	3
в четыре	3
моей родилось	3
как они	3
 когда	3
 эй	3
я внутренно	3
эти записки	3
пристально в	3
наконец они	3
только на	3
должна быть	3
на мне	3
о нем	3
не любишь	3
о нет	3
с этим	3
я имею	3
ему пристально	3
тамань 	3
о бэле	3
еще на	3
не были	3
к ее	3
я замечал	3
ее от	3
ней и	3
окно и	3
чтоб они	3
 очень	3
в сердце	3
я молчал	3
сквозь зубы	3
как ты	3
не имею	3
не имея	3
в минуту	3
казак мой	3
о землю	3
к себе	3
как же	3
я продолжал	3
бросился в	3
вздор 	3
с горы	3
думая что	3
следовательно не	3
как быть	3
я часто	3
с шумом	3
рано утром	3
ту же	3
что вам	3
нет еще	3
а еще	3
глядел на	3
я по	3
вид 	3
и наклонясь	3
одному из	2
хочу чтоб	2
шашкой 	2
за то	2
пожал ее	2
загнув руки	2
тогда она	2
в противном	2
необъятное наслаждение	2
господина 	2
что воздух	2
хоть в	2
трудно 	2
ее за	2
она то	2
драгунскому капитану	2
ею в	2
борьбе с	2
только никогда	2
краю площадки	2
верно она	2
досадно что	2
к какой-нибудь	2
из персии	2
ваше поведение	2
взглядов которые	2
да неужели	2
то за	2
слезами на	2
он думает	2
было стыдно	2
ему хотелось	2
через неделю	2
в камень	2
меня был	2
а другой	2
римские авгуры	2
чтоб его	2
моему противнику	2
в котором	2
стало лучше	2
vie serait	2
тогда в	2
это был	2
дня 	2
я прошу	2
господин 	2
то время	2
вернулся домой	2
он уж	2
говорила она	2
наша публика	2
минут как	2
я вернулся	2
с такою	2
будьте уверены	2
говорила мне	2
он коснулся	2
и отправились	2
есть тьма	2
на костыль	2
вам заметить	2
мы пришли	2
так скоро	2
нашему брату	2
бы хотелось	2
и они	2
за несколько	2
за нужда	2
mont st.-christophe	2
я увидел	2
должны были	2
ее глазами	2
в тупик	2
несчастный день	2
отчего это	2
тут-то было	2
княгиня 	2
против нее	2
нет она	2
а это	2
с мужем	2
заряжен 	2
чувств и	2
 вероятно	2
толстую солдатскую	2
она моя	2
мы уселись	2
смерти не	2
да бог	2
б все	2
она говорит	2
к стене	2
над нею	2
не отвечала	2
покуривая из	2
мне всегда	2
всего этого	2
часто на	2
нет в	2
что им	2
сладили это	2
что из	2
что слепой	2
что нет	2
часу вечера	2
вас ненавижу	2
кругом него	2
сказал вулич	2
слышал как	2
казалось что	2
о камень	2
ему что-то	2
что азамат	2
но видно	2
напротив что	2
в хату	2
ты нынче	2
воды как	2
прощай я	2
бросилась ему	2
 видишь	2
мое мнение	2
нам придется	2
мнение о	2
и никто	2
громко 	2
на углу	2
был вознагражден	2
был в	2
мы уж	2
и другой	2
а где	2
и семейных	2
в заключение	2
не до	2
была далеко	2
заключение что	2
татарином 	2
в руках	2
он приехал	2
что нашел	2
подумайте хорошенько	2
было тихо	2
через слободку	2
на словах	2
мы сидели	2
время и	2
нему он	2
ли чаю	2
права 	2
мои нервы	2
их на	2
после узнал	2
была только	2
это письмо	2
так зачем	2
так хорошо	2
головою и	2
мой отец	2
руки были	2
на две	2
чего 	2
из тифлиса	2
не боюсь	2
всматриваться в	2
бывало он	2
шел мимо	2
pour ne	2
не для	2
и их	2
сердце 	2
глаз с	2
пены и	2
откуда ветер	2
ему он	2
об ней	2
и надежды	2
что нехорошо	2
 произнесла	2
украду для	2
шепотом 	2
были далеко	2
знать и	2
бог даст	2
крепости и	2
точно так	2
как полотно	2
заплакала 	2
хуже 	2
шагах от	2
на пороге	2
мой товарищ	2
скажу что	2
уж и	2
он взяв	2
сегодня 	2
ходили взад	2
в углу	2
я много	2
одна за	2
же горы	2
и будет	2
довольно небрежно	2
буду с	2
лучше меня	2
ты меня	2
не смею	2
ночи и	2
холодных наблюдений	2
было досадно	2
в лесу	2
что-то из	2
меня хотели	2
и разумеется	2
стал ее	2
 признак	2
целая история	2
героем романа	2
окно 	2
против вас	2
вас уверить	2
кислосерной воды	2
 воры	2
ее ученый	2
стало досадно	2
схватил его	2
слишком длинный	2
на конце	2
неужто сейчас	2
вздохнув 	2
кажется не	2
говорит и	2
странный человек	2
на плечи	2
что касается	2
бы тебя	2
он наконец	2
думал что	2
ее шляпка	2
будет в	2
говорите что	2
она от	2
 тебе	2
целой кабарде	2
что никто	2
по ней	2
по нем	2
пользуясь свободой	2
кровати 	2
недели в	2
неизъяснимой грусти	2
я я	2
я понял	2
от верной	2
быть так	2
на гуд-гору	2
в сенях	2
этот господин	2
по обыкновению	2
княгини 	2
довольно громко	2
что-то не	2
не русская	2
ее совершенно	2
меня она	2
не желал	2
из двух	2
и один	2
мои вопросы	2
он молча	2
капитану 	2
пистолета 	2
бы очень	2
благородие 	2
она еще	2
кинжал и	2
на роду	2
разумеется 	2
не видывал	2
и рассказал	2
желудок но	2
и стала	2
я испугался	2
не подозревал	2
они за	2
последняя туча	2
ее никогда	2
по двору	2
стал звать	2
я едва	2
за деньги	2
поднял глаза	2
них в	2
 шепнул	2
про себя	2
как здесь	2
 держу	2
с ее	2
грушницкий мне	2
налил и	2
на свои	2
уж бог	2
она хотела	2
балкона на	2
знаете так	2
на лошадь	2
и после	2
для нас	2
наконец 	2
встретил вернера	2
казалось мне	2
лошадь княжны	2
послушайте 	2
под затылок	2
мне дурно	2
вы должны	2
она будет	2
говорил мне	2
грушницкого и	2
она на	2
от смеха	2
на двор	2
могли видеть	2
глазах 	2
зачем тут	2
с твоим	2
от ее	2
приятели 	2
обеда я	2
не иначе	2
она думает	2
моей душе	2
надо бы	2
максимыч не	2
целовал ее	2
в тебя	2
и посмотрел	2
стал ходить	2
с вашей	2
ваше высокоблагородие	2
холодно 	2
грудь мою	2
жизнь 	2
вами 	2
грусти казалось	2
его руку	2
она казалась	2
от природы	2
часа ночи	2
прошло около	2
из любопытства	2
вскочила в	2
пустился в	2
было заметить	2
лошадь я	2
зато уж	2
в свою	2
я лет	2
как называет	2
грушницкий кажется	2
разве вы	2
le mont	2
не нужно	2
за ними	2
так много	2
не кланяется	2
я говорю	2
во сто	2
чего начать	2
моей квартиры	2
слез и	2
это уж	2
я один	2
что для	2
было написано	2
в деле	2
покорюсь 	2
шагах 	2
все они	2
свечу и	2
не сносить	2
шею но	2
он узнает	2
и опустила	2
него что	2
по улице	2
его на	2
облокотясь на	2
недоверчивость и	2
узкая тропинка	2
слушал ее	2
пробежал мимо	2
верно какой-нибудь	2
чем когда-нибудь	2
все почти	2
сердечные тайны	2
русского человека	2
встретиться 	2
переменилась в	2
довольно дерзко	2
барином были	2
головою 	2
они 	2
а ему	2
слова я	2
вами не	2
него в	2
я поднял	2
ж он	2
там и	2
к столу	2
тяжело вздохнув	2
как бес	2
ей хотелось	2
и пуля	2
в каком-то	2
все меня	2
это печорину	2
махает шашкой	2
по многим	2
до того	2
в восемь	2
он довольно	2
смерти и	2
душу и	2
будешь грустить	2
он бросился	2
слово что	2
он конечно	2
спрятался за	2
что кто-то	2
то зачем	2
самый приятный	2
хромым старичком	2
уверенности что	2
но ничего	2
проникнуть в	2
очень мило	2
благородного собрания	2
разговор с	2
ним он	2
протянул ему	2
акации и	2
того дня	2
грушницкий на	2
и внятно	2
это казбич	2
и имел	2
живет в	2
и потому	2
юная франция	2
сел возле	2
надо мной	2
прикажете ли	2
позвольте мне	2
 впрочем	2
скрыть свое	2
они бросились	2
же и	2
и глаза	2
решительно 	2
подошвы машука	2
эта долина	2
с тем	2
приехал казбич	2
довольно крепко	2
обратном пути	2
с другой	2
когда-нибудь и	2
тоски по	2
о печорине	2
мы его	2
и более	2
с лица	2
в целой	2
другую 	2
себе как	2
руки за	2
перчатки и	2
 мое	2
 мой	2
пожав плечами	2
не женишься	2
с печориным	2
презирать меня	2
людей которые	2
вот еще	2
не переедешь	2
 эта	2
и мыслей	2
порядке вещей	2
знаю почему	2
иметь честь	2
в нее	2
ты 	2
больше я	2
что под	2
мне это	2
я пишу	2
был не	2
и сердит	2
она отвернулась	2
во всякой	2
темном небе	2
не привыкла	2
вечером я	2
себя презираю	2
однако ты	2
на лежанке	2
глаза рукою	2
за другим	2
говоря ни	2
после долгого	2
